ENSG00000232663,ENST00000431968
ENSG00000131686,ENST00000549778
ENSG00000265141,ENST00000583026
ENSG00000197241,ENST00000400906
ENSG00000142583,ENST00000377424
ENSG00000252404,ENST00000516595
ENSG00000180758,ENST00000377411
ENSG00000207865,ENST00000385130
ENSG00000228526,ENST00000437157
ENSG00000234546,ENST00000412639
ENSG00000049239,ENST00000377403
ENSG00000252841,ENST00000517032
ENSG00000171621,ENST00000328089
ENSG00000252956,ENST00000517147
ENSG00000235263,ENST00000441033
ENSG00000171612,ENST00000302692
ENSG00000231181,ENST00000435277
ENSG00000188807,ENST00000377376
ENSG00000171608,ENST00000536656
ENSG00000179840,ENST00000377320
ENSG00000233268,ENST00000426570
ENSG00000231789,ENST00000415330
ENSG00000171603,ENST00000377298
ENSG00000271264,ENST00000603781
ENSG00000178585,ENST00000377263
ENSG00000223989,ENST00000454104
ENSG00000162441,ENST00000488540
ENSG00000228150,ENST00000445884
ENSG00000173614,ENST00000403197
ENSG00000202415,ENST00000365545
ENSG00000265521,ENST00000578045
ENSG00000241326,ENST00000413148
ENSG00000162444,ENST00000315901
ENSG00000225786,ENST00000450492
ENSG00000130939,ENST00000253251
ENSG00000224340,ENST00000456484
ENSG00000233623,ENST00000416729
ENSG00000201746,ENST00000364876
ENSG00000054523,ENST00000377093
ENSG00000264881,ENST00000577266
ENSG00000199562,ENST00000362692
ENSG00000264501,ENST00000584329
ENSG00000265945,ENST00000579866
ENSG00000142657,ENST00000491493
ENSG00000271989,ENST00000607572
ENSG00000175279,ENST00000602787
ENSG00000251503,ENST00000400900
ENSG00000241563,ENST00000377049
ENSG00000160049,ENST00000377038
ENSG00000203469,ENST00000424487
ENSG00000142655,ENST00000472851
ENSG00000243267,ENST00000461850
ENSG00000130940,ENST00000377022
ENSG00000272078,ENST00000606802
ENSG00000225158,ENST00000450782
ENSG00000175262,ENST00000476357
ENSG00000215785,ENST00000400899
ENSG00000264181,ENST00000582090
ENSG00000207213,ENST00000384484
ENSG00000120948,ENST00000473118
ENSG00000009724,ENST00000400897
ENSG00000271895,ENST00000607145
ENSG00000116649,ENST00000475189
ENSG00000171824,ENST00000304457
ENSG00000226849,ENST00000452378
ENSG00000230337,ENST00000447600
ENSG00000198793,ENST00000376838
ENSG00000225602,ENST00000445982
ENSG00000253086,ENST00000517277
ENSG00000271794,ENST00000607349
ENSG00000171819,ENST00000376819
ENSG00000207451,ENST00000384720
ENSG00000238173,ENST00000448289
ENSG00000120942,ENST00000376810
ENSG00000238199,ENST00000433562
ENSG00000224338,ENST00000435243
ENSG00000204624,ENST00000423056
ENSG00000235643,ENST00000453135
ENSG00000116661,ENST00000354287
ENSG00000132879,ENST00000251546
ENSG00000116663,ENST00000376753
ENSG00000116670,ENST00000235310
ENSG00000162490,ENST00000294485
ENSG00000177674,ENST00000376637
ENSG00000215910,ENST00000433342
ENSG00000177553,ENST00000376620
ENSG00000177000,ENST00000376592
ENSG00000011021,ENST00000312413
ENSG00000242349,ENST00000446542
ENSG00000175206,ENST00000376480
ENSG00000120937,ENST00000376468
ENSG00000224904,ENST00000438808
ENSG00000199347,ENST00000362477
ENSG00000201801,ENST00000364931
ENSG00000116685,ENST00000376572
ENSG00000083444,ENST00000485046
ENSG00000116688,ENST00000444836
ENSG00000270914,ENST00000603287
ENSG00000116691,ENST00000478749
ENSG00000202461,ENST00000365591
ENSG00000243539,ENST00000496974
ENSG00000120949,ENST00000263932
ENSG00000201135,ENST00000364265
ENSG00000227875,ENST00000439324
ENSG00000028137,ENST00000376259
ENSG00000263676,ENST00000584158
ENSG00000225196,ENST00000453852
ENSG00000252969,ENST00000517160
ENSG00000048707,ENST00000358136
ENSG00000239149,ENST00000459326
ENSG00000229484,ENST00000416696
ENSG00000162496,ENST00000376223
ENSG00000221340,ENST00000408413
ENSG00000272482,ENST00000606790
ENSG00000204518,ENST00000376221
ENSG00000226166,ENST00000436879
ENSG00000188984,ENST00000332530
ENSG00000238771,ENST00000458803
ENSG00000157330,ENST00000288048
ENSG00000116726,ENST00000357726
ENSG00000116721,ENST00000332296
ENSG00000228338,ENST00000438401
ENSG00000204513,ENST00000535591
ENSG00000231103,ENST00000438176
ENSG00000179172,ENST00000317869
ENSG00000120952,ENST00000240189
ENSG00000243073,ENST00000235349
ENSG00000187545,ENST00000235347
ENSG00000204510,ENST00000361079
ENSG00000207434,ENST00000384703
ENSG00000234064,ENST00000418187
ENSG00000232423,ENST00000376189
ENSG00000250894,ENST00000504262
ENSG00000204508,ENST00000376187
ENSG00000239810,ENST00000436041
ENSG00000270601,ENST00000605221
ENSG00000250113,ENST00000512015
ENSG00000204505,ENST00000415919
ENSG00000233336,ENST00000437631
ENSG00000229978,ENST00000448180
ENSG00000236179,ENST00000458709
ENSG00000179412,ENST00000449855
ENSG00000224199,ENST00000457244
ENSG00000229571,ENST00000423177
ENSG00000204503,ENST00000353410
ENSG00000233394,ENST00000453094
ENSG00000204502,ENST00000376168
ENSG00000231219,ENST00000431596
ENSG00000207511,ENST00000384780
ENSG00000182330,ENST00000357367
ENSG00000237700,ENST00000437300
ENSG00000204501,ENST00000376152
ENSG00000228229,ENST00000432559
ENSG00000204495,ENST00000376132
ENSG00000204491,ENST00000376126
ENSG00000204488,ENST00000376121
ENSG00000204486,ENST00000332192
ENSG00000204485,ENST00000359310
ENSG00000224581,ENST00000447851
ENSG00000157358,ENST00000330087
ENSG00000204481,ENST00000344998
ENSG00000204480,ENST00000540591
ENSG00000204479,ENST00000376098
ENSG00000204478,ENST00000316412
ENSG00000162494,ENST00000376085
ENSG00000259961,ENST00000563570
ENSG00000215909,ENST00000401091
ENSG00000162493,ENST00000294489
ENSG00000222952,ENST00000411020
ENSG00000266358,ENST00000577470
ENSG00000237445,ENST00000441809
ENSG00000253085,ENST00000517276
ENSG00000116731,ENST00000484063
ENSG00000252151,ENST00000516342
ENSG00000231606,ENST00000449215
ENSG00000234593,ENST00000447908
ENSG00000189337,ENST00000491547
ENSG00000235829,ENST00000416175
ENSG00000175147,ENST00000404665
ENSG00000171729,ENST00000428417
ENSG00000204464,ENST00000424792
ENSG00000215720,ENST00000400795
ENSG00000142621,ENST00000358897
ENSG00000233485,ENST00000428747
ENSG00000236045,ENST00000439788
ENSG00000228140,ENST00000427824
ENSG00000142634,ENST00000375980
ENSG00000162438,ENST00000375949
ENSG00000142615,ENST00000459653
ENSG00000215704,ENST00000494280
ENSG00000132906,ENST00000546424
ENSG00000116138,ENST00000375838
ENSG00000251866,ENST00000516057
ENSG00000272510,ENST00000606186
ENSG00000116771,ENST00000375826
ENSG00000237301,ENST00000428945
ENSG00000235084,ENST00000420030
ENSG00000252417,ENST00000516608
ENSG00000236500,ENST00000422383
ENSG00000197312,ENST00000480945
ENSG00000215695,ENST00000345034
ENSG00000271742,ENST00000606262
ENSG00000116786,ENST00000375799
ENSG00000264048,ENST00000584345
ENSG00000237938,ENST00000453804
ENSG00000162461,ENST00000294454
ENSG00000224459,ENST00000418525
ENSG00000162460,ENST00000375782
ENSG00000162458,ENST00000496928
ENSG00000224321,ENST00000431782
ENSG00000233954,ENST00000538385
ENSG00000178715,ENST00000395968
ENSG00000179743,ENST00000535249
ENSG00000065526,ENST00000375759
ENSG00000238818,ENST00000459258
ENSG00000270620,ENST00000604816
ENSG00000116809,ENST00000462525
ENSG00000234607,ENST00000416882
ENSG00000231353,ENST00000424379
ENSG00000224966,ENST00000505954
ENSG00000183888,ENST00000329454
ENSG00000233078,ENST00000437156
ENSG00000173641,ENST00000411503
ENSG00000186510,ENST00000464764
ENSG00000232456,ENST00000447882
ENSG00000184908,ENST00000375679
ENSG00000185519,ENST00000375662
ENSG00000142627,ENST00000358432
ENSG00000227959,ENST00000424774
ENSG00000224621,ENST00000426353
ENSG00000234166,ENST00000457809
ENSG00000142632,ENST00000478117
ENSG00000237276,ENST00000442385
ENSG00000204377,ENST00000375605
ENSG00000132881,ENST00000375599
ENSG00000233929,ENST00000421314
ENSG00000037637,ENST00000375592
ENSG00000055070,ENST00000475078
ENSG00000226457,ENST00000445689
ENSG00000187144,ENST00000491418
ENSG00000157191,ENST00000337132
ENSG00000226029,ENST00000457898
ENSG00000080947,ENST00000263511
ENSG00000206652,ENST00000383925
ENSG00000261135,ENST00000562878
ENSG00000224174,ENST00000452795
ENSG00000233421,ENST00000415386
ENSG00000268674,ENST00000601199
ENSG00000225710,ENST00000438396
ENSG00000266584,ENST00000577341
ENSG00000219481,ENST00000430580
ENSG00000271732,ENST00000607700
ENSG00000215908,ENST00000540383
ENSG00000186301,ENST00000334429
ENSG00000207513,ENST00000384782
ENSG00000237847,ENST00000434336
ENSG00000264742,ENST00000584111
ENSG00000236698,ENST00000419267
ENSG00000268869,ENST00000414828
ENSG00000268991,ENST00000600179
ENSG00000058453,ENST00000466256
ENSG00000207389,ENST00000384659
ENSG00000227684,ENST00000457096
ENSG00000186715,ENST00000455405
ENSG00000223643,ENST00000414340
ENSG00000230239,ENST00000414128
ENSG00000263811,ENST00000583661
ENSG00000228549,ENST00000438002
ENSG00000238142,ENST00000422124
ENSG00000235241,ENST00000453917
ENSG00000207005,ENST00000384278
ENSG00000272426,ENST00000606899
ENSG00000117122,ENST00000375534
ENSG00000226526,ENST00000446261
ENSG00000159363,ENST00000326735
ENSG00000117118,ENST00000375499
ENSG00000117115,ENST00000375486
ENSG00000252180,ENST00000516371
ENSG00000204362,ENST00000412427
ENSG00000142623,ENST00000375471
ENSG00000142619,ENST00000375460
ENSG00000266634,ENST00000582732
ENSG00000159339,ENST00000375453
ENSG00000269468,ENST00000602074
ENSG00000256049,ENST00000434762
ENSG00000227751,ENST00000439577
ENSG00000179051,ENST00000375436
ENSG00000266727,ENST00000583469
ENSG00000239020,ENST00000458798
ENSG00000074964,ENST00000361221
ENSG00000236648,ENST00000430540
ENSG00000117148,ENST00000375406
ENSG00000261781,ENST00000569711
ENSG00000117154,ENST00000251296
ENSG00000230035,ENST00000419667
ENSG00000225387,ENST00000420211
ENSG00000179023,ENST00000400664
ENSG00000235282,ENST00000596113
ENSG00000225478,ENST00000450125
ENSG00000009709,ENST00000375375
ENSG00000179002,ENST00000375371
ENSG00000255275,ENST00000494072
ENSG00000159423,ENST00000290597
ENSG00000265606,ENST00000577305
ENSG00000221662,ENST00000408735
ENSG00000169991,ENST00000455833
ENSG00000272084,ENST00000606379
ENSG00000127481,ENST00000375254
ENSG00000266098,ENST00000582644
ENSG00000230424,ENST00000437898
ENSG00000127463,ENST00000477853
ENSG00000053372,ENST00000330263
ENSG00000211454,ENST00000457194
ENSG00000162482,ENST00000361640
ENSG00000270728,ENST00000604801
ENSG00000053371,ENST00000235835
ENSG00000200403,ENST00000363533
ENSG00000040487,ENST00000375155
ENSG00000265192,ENST00000583604
ENSG00000077549,ENST00000401084
ENSG00000240490,ENST00000481521
ENSG00000201609,ENST00000364739
ENSG00000239027,ENST00000458906
ENSG00000235185,ENST00000416470
ENSG00000270136,ENST00000602662
ENSG00000173436,ENST00000486890
ENSG00000226396,ENST00000457263
ENSG00000158747,ENST00000428975
ENSG00000158748,ENST00000289753
ENSG00000162542,ENST00000294543
ENSG00000178828,ENST00000375121
ENSG00000235434,ENST00000454736
ENSG00000169914,ENST00000375120
ENSG00000188784,ENST00000375116
ENSG00000242688,ENST00000488028
